Ticker,Shares,Avg_Cost_USD,Total_Cost_USD,Current_Price_USD,Market_Value_USD
NVDA,150,170.10,25515.00,183.34,27501.00
TSM,92,270.00,24840.00,353.90,32558.80
AMD,60,152.60,9156.00,199.45,11967.00
AVGO,46,339.00,15594.00,332.77,15307.42
AMAT,20,163.10,3262.00,346.53,6930.60
ASML,3,702.60,2107.80,1368.36,4105.08
SNPS,35,430.26,15059.10,442.30,15480.50
MSFT,14,460.00,6440.00,410.68,5749.52
GOOG,37,226.00,8362.00,300.91,11133.67
META,6,644.00,3864.00,660.57,3963.42
AMZN,20,220.00,4400.00,218.94,4378.80
PLTR,59,158.70,9363.30,152.67,9007.53
CRWD,5,426.50,2132.50,426.16,2130.80
TSLA,50,411.80,20590.00,405.55,20277.50
COIN,43,303.37,13044.91,205.71,8845.53
SOFI,170,24.40,4148.00,19.25,3272.50
RKLB,12,65.47,785.64,70.00,840.00
ONDS,350,8.82,3087.00,10.49,3671.50
CAVA,40,62.50,2500.00,79.39,3175.60
CHYM,150,20.40,3060.00,23.11,3466.50
BABA,40,163.10,6524.00,130.35,5214.00
HIMS,100,48.10,4810.00,15.88,1588.00
CRWV,80,100.45,8036.00,74.82,5985.60
EOSE,200,11.99,2398.00,6.72,1344.00
GCL,2000,1.07,2140.00,0.52,1036.60
ITA,20,,,240.04,4800.80
1321JP,14,,,57440.00,804160.00
